HEADER[~&~	~&~UNIV_DT::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'200709270000000000'~&~	~&~'683D47188FB889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709280000000000'~&~	~&~'683D47188FB989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709290000000000'~&~	~&~'683D47188FBA89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709300000000000'~&~	~&~'683D47188FBB89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200710010000000000'~&~	~&~'683D47188FBC89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710020000000000'~&~	~&~'683D47188EEF89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710030000000000'~&~	~&~'683D47188EF089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710040000000000'~&~	~&~'683D47188EF189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710050000000000'~&~	~&~'683D47188EF289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710060000000000'~&~	~&~'683D47188EF389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710070000000000'~&~	~&~'683D47188EF489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710080000000000'~&~	~&~'683D47188EF589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710090000000000'~&~	~&~'683D47188EF689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710100000000000'~&~	~&~'683D47188EF789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710110000000000'~&~	~&~'683D47188EF889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710120000000000'~&~	~&~'683D47188EF989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710130000000000'~&~	~&~'683D47188EFA89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710140000000000'~&~	~&~'683D47188EFB89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710150000000000'~&~	~&~'683D47188EFC89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710160000000000'~&~	~&~'683D47188EFD89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710170000000000'~&~	~&~'683D47188EFE89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
RECORD[~&~	~&~'200710180000000000'~&~	~&~'683D47188EFF89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'04'~&~	~&~]RECORD
