HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_OBJ_SUB_TYPE_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CPTLZTN_FOBJ_CD::VARCHAR~&~	~&~ACCUM_DEPR_FOBJ_CD::VARCHAR~&~	~&~DEPR_EXP_FOBJ_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'LF'~&~	~&~'5176F1952D1ACCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8614'~&~	~&~'8913'~&~	~&~'5159'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'LI'~&~	~&~'5176F1952D1BCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8613'~&~	~&~'8913'~&~	~&~'5159'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'LR'~&~	~&~'5176F1952D11CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8665'~&~	~&~'8965'~&~	~&~'5119'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'UC'~&~	~&~'5176F1952D15CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8618'~&~	~&~'8933'~&~	~&~'5133'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'UF'~&~	~&~'5176F1952D16CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8619'~&~	~&~'8933'~&~	~&~'5133'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'UO'~&~	~&~'5176F1952D22CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'AM'~&~	~&~'5176F1952D31CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8615'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'BD'~&~	~&~'5176F1952D23CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8601'~&~	~&~'8901'~&~	~&~'5112'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'BF'~&~	~&~'5176F1952D24CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8605'~&~	~&~'8905'~&~	~&~'5112'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'BI'~&~	~&~'5176F1952D29CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8629'~&~	~&~'8929'~&~	~&~'5129'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'C2'~&~	~&~'5176F1952D28CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8628'~&~	~&~'8928'~&~	~&~'5128'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'CF'~&~	~&~'5176F1952D25CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8611'~&~	~&~'8910'~&~	~&~'5115'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'CL'~&~	~&~'5176F1952D32CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'9603'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'CM'~&~	~&~'5176F1952D26CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8610'~&~	~&~'8910'~&~	~&~'5115'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'CO'~&~	~&~'5176F1952D33CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'CP'~&~	~&~'5176F1952D34CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'ES'~&~	~&~'5176F1952D2CCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8630'~&~	~&~'8930'~&~	~&~'5156'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'IF'~&~	~&~'5176F1952D2DCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8604'~&~	~&~'8904'~&~	~&~'5157'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'LA'~&~	~&~'5176F1952D35CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8603'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'LE'~&~	~&~'5176F1952D2ECCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8608'~&~	~&~'8908'~&~	~&~'5158'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'LF'~&~	~&~'5176F1952D2FCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8614'~&~	~&~'8913'~&~	~&~'5159'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'LI'~&~	~&~'5176F1952D30CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8613'~&~	~&~'8913'~&~	~&~'5159'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'LR'~&~	~&~'5176F1952D27CCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8665'~&~	~&~'8965'~&~	~&~'5119'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'UC'~&~	~&~'5176F1952D2ACCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8618'~&~	~&~'8933'~&~	~&~'5133'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'FW'~&~	~&~'UF'~&~	~&~'5176F1952D2BCCDAE0404F8189D84656'~&~	~&~'1'~&~	~&~'8619'~&~	~&~'8933'~&~	~&~'5133'~&~	~&~'Y'~&~	~&~]RECORD
