HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_NBR::VARCHAR~&~	~&~LBR_RPT_POSOBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2016'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'89a61455-e605-4668-81c4-d472ccc4ecf0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'0264cab5-a999-4717-bada-bea3b55f12b0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'90c99917-8466-4b94-8f98-0438e6493ac0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'85835ceb-54af-4a95-a42c-b151fbe8e437'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'0757f5a3-6be3-4880-8120-6d4941743018'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'M01'~&~	~&~'AC'~&~	~&~'b857c984-7435-4072-9522-ec8e7cfe84e6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'M01'~&~	~&~'PA'~&~	~&~'9017edd8-48b1-461b-9cdc-90029c8ec8ef'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'M02'~&~	~&~'AC'~&~	~&~'ec1459aa-dba3-4b9c-9a93-847ad9f24865'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2016'~&~	~&~'M02'~&~	~&~'PA'~&~	~&~'f2d696bc-6af0-451e-a5e7-ce27662e9f88'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'434a7b10-016b-45d0-9f46-16120e660e55'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'facbd833-3096-4717-b42a-78558953ebb6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'37bd8a87-da03-49f3-ba34-8978bb6efc5f'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'6cedce05-2aa1-4c0c-b28b-c2d8d1d3deeb'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'416b7683-3734-4052-923d-95f31434b71f'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'2267d779-7661-400f-8fd0-160a01152ccd'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'2dd32488-ba06-4239-8dfe-aa3a2c5ec3c8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'adf11a7f-6e30-4653-8b60-ba9bc19eedc3'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'34093ead-ab38-4807-8efe-bef448559736'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'M01'~&~	~&~'AC'~&~	~&~'cc398124-203c-42f7-a5a4-4bca16a86917'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'M01'~&~	~&~'PA'~&~	~&~'e57b8b3d-67a6-4f18-89f2-18150d5edaa1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'M02'~&~	~&~'AC'~&~	~&~'ae8cb2c4-4698-428a-b2ce-ce314fc6e36e'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2017'~&~	~&~'M02'~&~	~&~'PA'~&~	~&~'8fb1d8ab-bf71-400d-8a7f-ceab129c5b86'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'bb5619bb-62b0-45df-a611-5945cf2695d0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'be32a1c3-a462-49ec-a1c7-1eb86699d787'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'1396e386-39cf-4073-9141-d2f67bc9ba65'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
