HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~ERNCD::VARCHAR~&~	~&~PAYGROUP::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'OCC'~&~	~&~'HRX'~&~	~&~'80c3b1b0-e828-4ee4-90cc-af208911cb12'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'RAO'~&~	~&~'AOE'~&~	~&~'3256b1d5-5699-49b3-b788-a428f5563eff'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'RGA'~&~	~&~'SUM'~&~	~&~'da7de7de-aa02-442a-afac-b387a27c17e5'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRA'~&~	~&~'6ad4b084-2386-4e61-b43a-e6dc7b7d66d1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRR'~&~	~&~'ecbd1917-655c-4baf-90b0-9b72111ed5e1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'RGN'~&~	~&~'BW1'~&~	~&~'8eac3196-5d2b-4561-b3ab-1a121c0f478e'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'RGP'~&~	~&~'HRP'~&~	~&~'8d90e548-21d3-4661-b5cf-c4ca35dd00e9'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'RGW'~&~	~&~'HRW'~&~	~&~'3dfa07ec-c470-4bd6-ac66-5b5ef2fbdbc3'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BI'~&~	~&~'RMO'~&~	~&~'SMO'~&~	~&~'3c8b4745-52e6-43d9-8d1e-46c736690305'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'10'~&~	~&~'REG'~&~	~&~'S10'~&~	~&~'77610444-778c-4024-9ac5-a1c66da0a45b'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'10'~&~	~&~'RGA'~&~	~&~'A10'~&~	~&~'d34b8126-3b5e-4ba3-948b-92b87ce55e7d'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'10'~&~	~&~'RGS'~&~	~&~'AS0'~&~	~&~'bd081162-47d8-46b9-94c4-540223985984'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'12'~&~	~&~'REG'~&~	~&~'S12'~&~	~&~'2e8e0e29-67d7-4ecf-9ae8-14f560e7ab24'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'12'~&~	~&~'RGA'~&~	~&~'A12'~&~	~&~'7269db6e-a2eb-4844-bd60-c2356a509b38'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'12'~&~	~&~'RGR'~&~	~&~'RES'~&~	~&~'bbf1494b-f680-49f6-b8fa-a10fca1fd8c4'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'12'~&~	~&~'RGS'~&~	~&~'AS2'~&~	~&~'bdfd4b58-bf38-4873-9b75-eb443e4f1dad'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'OCC'~&~	~&~'HRX'~&~	~&~'7cb9e7f2-b666-4159-af42-fa573fcfaebb'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
