HEADER[~&~	~&~PERSON_UNVL_ID::VARCHAR~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~RPTS_TO_FIN_COA_CD::VARCHAR~&~	~&~RPTS_TO_ORG_CD::VARCHAR~&~	~&~PULL_FLAG::DECIMAL~&~	~&~]HEADER
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'RESA'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'RESL'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'RESH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'RMAH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'ACSH'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'RPAS'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'RPSL'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'PRGE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'SCGE'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CENT'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'SEWG'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'FURN'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'SMDR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'SPDR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAFE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'STPR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'PRGE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'TEGE'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CAGE'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'TELA'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'COMM'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'TELB'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'COMM'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'TELC'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'COMM'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'TESH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'HOUS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'TRAN'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'TTAH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'UAAH'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'UPHO'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'FURN'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'UTIL'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'CENT'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'UTIM'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'PHYP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'VPAT'~&~	~&~'1'~&~	~&~'BL'~&~	~&~'PHYP'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'VSHP'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'BOOK'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'WPDR'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'WRDR'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'3949401795'~&~	~&~'BA'~&~	~&~'WRCS'~&~	~&~'1'~&~	~&~'BA'~&~	~&~'WRDR'~&~	~&~'0'~&~	~&~]RECORD
